Rank,Player,Team,Blocks,PerGame
570,Chad LaRose,CAR,14,0.25
571,Ben Lovejoy,PIT,14,1.17
572,Brendan Mikkelson,ANH,14,0.5
573,Milan Lucic,BOS,14,0.28
574,Marian Hossa,CHI,14,0.25
575,Todd Fedoruk,TB,14,0.28
576,Dean Arsene,EDM,13,1
577,Henrik Sedin,VAN,13,0.16
578,Phil Kessel,TOR,13,0.19
579,Mark Parrish,TB,13,0.81
580,Krys Barch,DAL,13,0.21
581,Dustin Kohn,NYI,13,0.59
582,Adam Mair,BUF,13,0.19
583,Teemu Selanne,ANH,13,0.24
584,David Clarkson,NJ,13,0.28
585,Deryk Engelland,PIT,13,1.44
586,Keith Tkachuk,STL,13,0.19
587,Alexandre Bolduc,VAN,13,0.87
588,Scottie Upshall,PHO,13,0.27
589,Bill Guerin,PIT,13,0.17
590,Ryan White,MON,13,0.81
591,Steve Sullivan,NSH,13,0.16
592,David Perron,STL,12,0.15
593,Dan Sexton,ANH,12,0.29
594,Johan Franzen,DET,12,0.44
595,Mathieu Darche,MON,12,0.41
596,Peter Mueller,COL,12,0.17
597,Enver Lisin,NYR,12,0.21
598,Jeff Tambellini,NYI,12,0.33
599,Jared Boll,CLS,12,0.18
600,Brad Winchester,STL,12,0.19
601,Tuomo Ruutu,CAR,12,0.22
602,Jamie Lundmark,TOR,12,0.33
603,Pavol Demitra,VAN,12,0.43
604,Tyler Kennedy,PIT,12,0.19
605,Paul Ranger,TB,11,1.38
606,Mike Modano,DAL,11,0.19
607,Colin Wilson,NSH,11,0.31
608,Derick Brassard,CLS,11,0.14
609,Ales Hemsky,EDM,11,0.5
610,Brian Sutherby,DAL,11,0.24
611,Kenndal McArdle,FLA,11,0.58
612,Aaron Voros,NYR,11,0.27
613,Chris Stewart,COL,11,0.14
614,Andrew Murray,CLS,11,0.24
615,Marc Savard,BOS,11,0.27
616,Patrik Berglund,STL,11,0.15
617,Tomas Kopecky,CHI,11,0.15
618,Blair Jones,TB,11,0.79
619,Nick Tarnasky,FLA,11,0.35
620,Logan Couture,SJ,11,0.44
621,Jannik Hansen,VAN,11,0.23
622,Jason Spezza,OTT,11,0.18
623,Rod Pelley,NJ,11,0.17
624,Joffrey Lupul,ANH,10,0.43
625,Ryan Stone,EDM,10,0.37
626,Nathan Paetsch,CLS,10,0.48
627,Evgeny Artyukhin,ATL,10,0.19
628,Chris Durno,COL,10,0.24
629,Marek Svatos,COL,10,0.19
630,David Booth,FLA,10,0.36
631,Kevin Porter,COL,10,0.5
632,Eric Boulton,ATL,10,0.16
633,Brandon Bochenski,TB,10,0.36
634,Slava Kozlov,ATL,10,0.18
635,Christian Hanson,TOR,10,0.32
636,Staffan Kronwall,CGY,9,0.82
637,Tim Sestito,NJ,9,1
638,Jody Shelley,NYR,9,0.16
639,Nick Spaling,NSH,9,0.32
640,Clayton Stoner,MIN,9,1.13
641,Ilkka Heikkinen,NYR,9,1.29
642,Jiri Tlusty,CAR,9,0.45
643,Adam Burish,CHI,9,0.69
644,David Jones,COL,9,0.39
645,Ole-Kristian Tollefsen,PHI,9,0.5
646,Donald Brashear,NYR,9,0.25
647,Brandon Yip,COL,8,0.25
648,Troy Bodie,ANH,8,0.18
649,Arturs Kulda,ATL,8,2
650,Chris Neil,OTT,8,0.12
651,Derek Boogaard,MIN,8,0.14
652,Scott Walker,WAS,8,0.19
653,Teddy Purcell,TB,8,0.13
654,Keaton Ellerby,FLA,8,0.36
655,Mike Blunden,CLS,7,0.18
656,Nathan Gerbe,BUF,7,0.7
657,Jeff Taffe,FLA,7,0.33
658,Chris Chelios,ATL,7,1
659,Zach Boychuk,CAR,7,0.23
660,Tomas Holmstrom,DET,7,0.1
661,Casey Wellman,MIN,7,0.58
662,Jordin Tootoo,NSH,7,0.14
663,Grant Clitsome,CLS,7,0.64
664,Cal O'Reilly,NSH,7,0.23
665,Oscar Moller,LA,7,0.21
666,Shaun Heshka,PHO,7,0.88
667,Alex Pietrangelo,STL,7,0.78
668,Alec Martinez,LA,7,1.75
669,Vladimir Zharkov,NJ,6,0.15
670,Ben Eager,CHI,6,0.1
671,Brandon Segal,DAL,6,0.14
672,Mike Santorelli,NSH,6,0.24
673,Mathieu Perreault,WAS,6,0.29
674,Niclas Bergfors,ATL,6,0.07
675,Robbie Earl,MIN,6,0.19
676,Andreas Thuresson,NSH,6,0.27
677,Matthew Corrente,NJ,6,0.5
678,Ryan Carter,ANH,6,0.16
679,Jay Rosehill,TOR,6,0.4
680,Matt Halischuk,NJ,5,0.25
